Learning Rate,Batch Size,Epochs,Dropout Rate,Weight Decay,Train Accuracy,Validation Accuracy
0.1,16,10,0.1,0,0.333333333,0.366666667
0.1,16,10,0.1,1.00E-05,0.333333333,0.366666667
0.1,16,10,0.1,0.0001,0.333333333,0.333333333
0.1,16,10,0.1,0.001,0.333333333,0.333333333
0.01,16,10,0.1,0,0.43615257,0.577777778
0.01,16,10,0.1,1.00E-05,0.333333333,0.633333333
0.01,16,10,0.1,0.0001,0.364842454,0.566666667
0.01,16,10,0.1,0.001,0.376451078,0.677777778
0.001,16,10,0.1,0,0.908789386,0.911111111
0.001,16,10,0.1,1.00E-05,0.915422886,0.888888889
0.001,16,10,0.1,0.0001,0.91708126,0.877777778
0.001,16,10,0.1,0.001,0.915422886,0.9
0.1,16,10,0.3,0,0.333333333,0.333333333
0.1,16,10,0.3,1.00E-05,0.333333333,0.333333333
0.1,16,10,0.3,0.0001,0.333333333,0.355555556
0.1,16,10,0.3,0.001,0.333333333,0.333333333
0.01,16,10,0.3,0,0.333333333,0.511111111
0.01,16,10,0.3,1.00E-05,0.583747927,0.677777778
0.01,16,10,0.3,0.0001,0.333333333,0.622222222
0.01,16,10,0.3,0.001,0.389718076,0.744444444
0.001,16,10,0.3,0,0.885572139,0.911111111
0.001,16,10,0.3,1.00E-05,0.913764511,0.922222222
0.001,16,10,0.3,0.0001,0.902155887,0.922222222
0.001,16,10,0.3,0.001,0.925373134,0.9
0.1,16,10,0.5,0,0.333333333,0.388888889
0.1,16,10,0.5,1.00E-05,0.333333333,0.333333333
0.1,16,10,0.5,0.0001,0.333333333,0.333333333
0.1,16,10,0.5,0.001,0.333333333,0.333333333
0.01,16,10,0.5,0,0.333333333,0.533333333
0.01,16,10,0.5,1.00E-05,0.334991708,0.544444444
0.01,16,10,0.5,0.0001,0.333333333,0.722222222
0.01,16,10,0.5,0.001,0.330016584,0.588888889
0.001,16,10,0.5,0,0.907131012,0.9
0.001,16,10,0.5,1.00E-05,0.910447761,0.933333333
0.001,16,10,0.5,0.0001,0.892205638,0.866666667
0.001,16,10,0.5,0.001,0.900497512,0.911111111
0.1,32,10,0.1,0,0.333333333,0.366666667
0.1,32,10,0.1,1.00E-05,0.333333333,0.333333333
0.1,32,10,0.1,0.0001,0.333333333,0.333333333
0.1,32,10,0.1,0.001,0.336650083,0.333333333
0.01,32,10,0.1,0,0.555555556,0.688888889
0.01,32,10,0.1,1.00E-05,0.5986733,0.7
0.01,32,10,0.1,0.0001,0.466003317,0.644444444
0.01,32,10,0.1,0.001,0.543946932,0.766666667
0.001,32,10,0.1,0,0.936981758,0.9
0.001,32,10,0.1,1.00E-05,0.908789386,0.888888889
0.001,32,10,0.1,0.0001,0.92039801,0.877777778
0.001,32,10,0.1,0.001,0.908789386,0.877777778
0.1,32,10,0.3,0,0.333333333,0.333333333
0.1,32,10,0.3,1.00E-05,0.333333333,0.366666667
0.1,32,10,0.3,0.0001,0.333333333,0.344444444
0.1,32,10,0.3,0.001,0.333333333,0.377777778
0.01,32,10,0.3,0,0.583747927,0.7
0.01,32,10,0.3,1.00E-05,0.479270315,0.677777778
0.01,32,10,0.3,0.0001,0.628524046,0.777777778
0.01,32,10,0.3,0.001,0.615257048,0.788888889
0.001,32,10,0.3,0,0.915422886,0.877777778
0.001,32,10,0.3,1.00E-05,0.91708126,0.877777778
0.001,32,10,0.3,0.0001,0.910447761,0.933333333
0.001,32,10,0.3,0.001,0.91708126,0.922222222
0.1,32,10,0.5,0,0.333333333,0.333333333
0.1,32,10,0.5,1.00E-05,0.333333333,0.333333333
0.1,32,10,0.5,0.0001,0.333333333,0.344444444
0.1,32,10,0.5,0.001,0.333333333,0.333333333
0.01,32,10,0.5,0,0.499170813,0.711111111
0.01,32,10,0.5,1.00E-05,0.348258706,0.655555556
0.01,32,10,0.5,0.0001,0.562189055,0.777777778
0.01,32,10,0.5,0.001,0.580431177,0.7
0.001,32,10,0.5,0,0.918739635,0.922222222
0.001,32,10,0.5,1.00E-05,0.922056385,0.911111111
0.001,32,10,0.5,0.0001,0.91708126,0.844444444
0.001,32,10,0.5,0.001,0.936981758,0.866666667
0.1,64,10,0.1,0,0.333333333,0.333333333
0.1,64,10,0.1,1.00E-05,0.333333333,0.366666667
0.1,64,10,0.1,0.0001,0.333333333,0.333333333
0.1,64,10,0.1,0.001,0.333333333,0.333333333
0.01,64,10,0.1,0,0.568822554,0.722222222
0.01,64,10,0.1,1.00E-05,0.694859038,0.766666667
0.01,64,10,0.1,0.0001,0.64344942,0.744444444
0.01,64,10,0.1,0.001,0.626865672,0.766666667
0.001,64,10,0.1,0,0.928689884,0.911111111
0.001,64,10,0.1,1.00E-05,0.941956882,0.855555556
0.001,64,10,0.1,0.0001,0.915422886,0.877777778
0.001,64,10,0.1,0.001,0.946932007,0.922222222
0.1,64,10,0.3,0,0.333333333,0.344444444
0.1,64,10,0.3,1.00E-05,0.333333333,0.355555556
0.1,64,10,0.3,0.0001,0.333333333,0.333333333
0.1,64,10,0.3,0.001,0.333333333,0.333333333
0.01,64,10,0.3,0,0.64013267,0.733333333
0.01,64,10,0.3,1.00E-05,0.620232172,0.666666667
0.01,64,10,0.3,0.0001,0.63681592,0.755555556
0.01,64,10,0.3,0.001,0.547263682,0.788888889
0.001,64,10,0.3,0,0.922056385,0.922222222
0.001,64,10,0.3,1.00E-05,0.936981758,0.855555556
0.001,64,10,0.3,0.0001,0.933665008,0.877777778
0.001,64,10,0.3,0.001,0.915422886,0.888888889
0.1,64,10,0.5,0,0.333333333,0.333333333
0.1,64,10,0.5,1.00E-05,0.333333333,0.377777778
0.1,64,10,0.5,0.0001,0.333333333,0.366666667
0.1,64,10,0.5,0.001,0.333333333,0.333333333
0.01,64,10,0.5,0,0.63681592,0.722222222
0.01,64,10,0.5,1.00E-05,0.648424544,0.733333333
0.01,64,10,0.5,0.0001,0.698175788,0.733333333
0.01,64,10,0.5,0.001,0.633499171,0.711111111
0.001,64,10,0.5,0,0.922056385,0.888888889
0.001,64,10,0.5,1.00E-05,0.91708126,0.9
0.001,64,10,0.5,0.0001,0.925373134,0.888888889
0.001,64,10,0.5,0.001,0.933665008,0.877777778
